Date,Open,High,Low,Close,Adj Close,Volume
2017-12-19,3540.000000,3657.949951,3540.000000,3632.350098,3622.003662,122892
2017-12-20,3651.199951,3912.000000,3641.100098,3834.800049,3823.876953,230769
2017-12-21,3879.000000,3889.000000,3820.000000,3852.850098,3841.875488,78561
2017-12-22,3883.000000,4084.000000,3852.500000,4037.050049,4025.551025,134155
2017-12-26,4060.000000,4494.000000,4060.000000,4394.250000,4381.732910,413884
2017-12-27,4360.000000,4360.350098,4058.399902,4216.100098,4204.091309,166423
2017-12-28,4258.799805,4430.000000,4236.450195,4283.649902,4271.448242,209317
2017-12-29,4283.000000,4343.000000,4141.000000,4190.950195,4179.012695,99620
2018-01-01,4230.000000,4295.000000,4142.000000,4187.549805,4175.622070,39092
2018-01-02,4229.000000,4255.000000,4115.299805,4137.100098,4125.315918,40326
2018-01-03,4245.000000,4300.000000,4173.149902,4200.450195,4188.485352,83378
2018-01-04,4222.000000,4231.950195,4102.000000,4127.399902,4115.643066,73635
2018-01-05,4137.000000,4174.000000,4050.000000,4068.199951,4056.611816,38621
2018-01-08,4082.000000,4185.000000,4050.000000,4083.149902,4071.519287,38380
2018-01-09,4108.000000,4150.000000,4040.000000,4049.600098,4038.065186,26818
2018-01-10,4067.800049,4110.000000,4001.000000,4026.800049,4015.330078,35281
2018-01-11,4010.000000,4029.899902,3880.000000,3900.750000,3889.638916,61519
2018-01-12,3930.000000,3930.000000,3800.000000,3844.649902,3833.698730,32717
2018-01-15,3844.000000,3955.000000,3781.000000,3797.500000,3786.683105,57313
2018-01-16,3814.899902,3826.000000,3670.000000,3703.649902,3693.100586,58411
2018-01-17,3705.000000,3725.000000,3578.199951,3644.000000,3633.620117,124804
2018-01-18,3650.000000,3908.199951,3640.100098,3794.550049,3783.741699,142654
2018-01-19,3779.850098,3890.000000,3745.000000,3830.149902,3819.239990,54243
2018-01-22,3858.899902,3885.000000,3780.000000,3824.850098,3813.955322,20973
2018-01-23,3825.000000,3850.000000,3755.149902,3790.699951,3779.902344,56823
2018-01-24,3761.000000,3789.899902,3726.050049,3758.100098,3747.395264,16229
2018-01-25,3765.149902,3850.000000,3710.000000,3813.649902,3802.786865,23319
2018-01-29,3851.649902,3866.949951,3737.000000,3783.850098,3773.071777,28938
2018-01-30,3775.000000,3850.000000,3725.000000,3787.300049,3776.512207,26626
2018-01-31,3790.000000,3835.000000,3719.550049,3750.350098,3739.667480,60738
